Transaction_ID,Customer_ID,Transaction_Amount,Transaction_Hour,Location,Merchant_Category,Payment_Method,Device_Type,Is_Fraud
T1,1102,2623.2,4,Hyderabad,Entertainment,UPI,Mobile,0
T2,1179,4112.53,22,Hyderabad,Grocery,Card,Mobile,0
T3,1092,268.21,18,Bangalore,Electronics,Card,Tablet,0
T4,1014,3469.85,19,Nagpur,Fashion,UPI,Mobile,0
T5,1106,3297.44,13,Bangalore,Grocery,UPI,Mobile,0
T6,1071,3289.93,16,Kolkata,Fashion,Net Banking,Mobile,0
T7,1188,3700.19,17,Pune,Grocery,Card,Tablet,0
T8,1020,4513.83,20,Nagpur,Grocery,Card,Mobile,0
T9,1102,6538.8,2,Pune,Fashion,UPI,Laptop,0
T10,1121,1257.86,1,Bangalore,Food,UPI,Laptop,0
T11,1074,6973.01,0,Chennai,Fashion,Card,Mobile,1
T12,1087,2758.66,9,Hyderabad,Fashion,UPI,Mobile,0
T13,1116,320.76,18,Pune,Grocery,UPI,Laptop,0
T14,1099,241.34,16,Nagpur,Electronics,Net Banking,Tablet,0
T15,1103,1627.29,11,Kolkata,Grocery,Net Banking,Laptop,0
T16,1151,6146.55,0,Nagpur,Travel,Card,Mobile,1
T17,1130,4919.64,11,Pune,Fashion,UPI,Laptop,0
T18,1149,6216.3,16,Nagpur,Entertainment,Card,Mobile,0
T19,1052,2913.18,23,Kolkata,Fashion,UPI,Mobile,0
T20,1001,2320.7,2,Hyderabad,Food,UPI,Laptop,0
T21,1087,638.11,10,Chennai,Entertainment,Net Banking,Mobile,0
T22,1157,1591.14,16,Hyderabad,Grocery,UPI,Laptop,0
T23,1037,2276.78,22,Nagpur,Food,Net Banking,Mobile,0
T24,1129,371.1,2,Kolkata,Fashion,UPI,Laptop,0
T25,1191,996.98,7,Kolkata,Grocery,Net Banking,Mobile,0
T26,1187,3647.46,19,Pune,Grocery,UPI,Mobile,0
T27,1020,5322.12,3,Bangalore,Travel,UPI,Laptop,0
T28,1160,25621.89,20,Nagpur,Travel,Card,Mobile,1
T29,1057,10819.02,21,Nagpur,Electronics,Card,Mobile,0
T30,1021,4115.21,6,Nagpur,Travel,Card,Tablet,0
T31,1088,2187.53,13,Nagpur,Entertainment,UPI,Mobile,0
T32,1048,4044.36,13,Pune,Grocery,UPI,Tablet,0
T33,1058,6160.61,3,Bangalore,Travel,UPI,Mobile,0
T34,1169,503.78,15,Bangalore,Electronics,Net Banking,Mobile,0
T35,1187,2109.89,23,Delhi,Fashion,Net Banking,Laptop,0
T36,1014,7325.39,21,Nagpur,Entertainment,Card,Laptop,0
T37,1189,1936.95,0,Nagpur,Travel,Card,Mobile,1
T38,1189,3393.33,16,Delhi,Grocery,Card,Mobile,0
T39,1174,3544.69,9,Bangalore,Fashion,Card,Laptop,0
T40,1189,815.7,21,Kolkata,Grocery,UPI,Mobile,0
T41,1050,1799.14,15,Kolkata,Fashion,UPI,Mobile,0
T42,1107,1628.93,15,Mumbai,Entertainment,UPI,Mobile,0
T43,1054,106.18,7,Hyderabad,Grocery,Net Banking,Mobile,0
T44,1063,97.96,6,Mumbai,Travel,UPI,Mobile,0
T45,1130,7127.96,5,Bangalore,Travel,Card,Mobile,0
T46,1050,1275.7,15,Chennai,Electronics,UPI,Mobile,0
T47,1134,2919.9,19,Nagpur,Fashion,Card,Mobile,0
T48,1020,1419.42,15,Mumbai,Electronics,Card,Mobile,0
T49,1072,11299.18,6,Pune,Food,Card,Laptop,0
T50,1166,1200.62,8,Kolkata,Travel,UPI,Mobile,0
T51,1017,2246.07,13,Pune,Fashion,Card,Laptop,0
T52,1131,8245.79,10,Delhi,Entertainment,Card,Laptop,0
T53,1088,7378.96,13,Bangalore,Electronics,UPI,Mobile,0
T54,1059,823.68,6,Bangalore,Entertainment,UPI,Mobile,0
T55,1013,6490.97,0,Mumbai,Entertainment,Card,Mobile,1
T56,1008,2451.34,12,Nagpur,Entertainment,Card,Laptop,0
T57,1089,2638.61,19,Bangalore,Electronics,UPI,Tablet,0
T58,1052,573.08,2,Mumbai,Food,Card,Mobile,1
T59,1129,336.14,19,Mumbai,Electronics,Net Banking,Laptop,0
T60,1083,5206.92,3,Hyderabad,Grocery,UPI,Mobile,0
T61,1091,2744.38,10,Hyderabad,Travel,Card,Mobile,0
T62,1110,2296.84,1,Bangalore,Electronics,Card,Laptop,1
T63,1187,5230.05,13,Mumbai,Electronics,Card,Mobile,0
T64,1198,5801.42,11,Delhi,Food,Card,Mobile,0
T65,1171,692.22,16,Delhi,Grocery,Card,Mobile,0
T66,1007,3768.74,11,Hyderabad,Electronics,UPI,Laptop,0
T67,1174,581.74,11,Bangalore,Travel,Card,Mobile,0
T68,1034,5567.24,0,Kolkata,Travel,UPI,Tablet,0
T69,1080,4279.58,12,Nagpur,Electronics,UPI,Mobile,0
T70,1163,12550.53,13,Chennai,Entertainment,Card,Mobile,0
T71,1049,285.8,23,Kolkata,Entertainment,Card,Laptop,0
T72,1103,234.99,1,Delhi,Grocery,Card,Mobile,1
T73,1131,1326.19,11,Delhi,Travel,Card,Laptop,0
T74,1001,1213.65,20,Kolkata,Entertainment,UPI,Mobile,0
T75,1133,1134.65,15,Hyderabad,Travel,Card,Mobile,0
T76,1053,9468.69,3,Hyderabad,Grocery,UPI,Mobile,0
T77,1105,1148.31,7,Bangalore,Grocery,Card,Tablet,0
T78,1003,1269.54,1,Hyderabad,Entertainment,UPI,Mobile,0
T79,1053,5698.45,9,Pune,Electronics,UPI,Laptop,0
T80,1190,2389.46,8,Chennai,Fashion,UPI,Mobile,0
T81,1145,5997.15,22,Kolkata,Food,Card,Mobile,0
T82,1043,270.4,14,Kolkata,Fashion,Card,Mobile,0
T83,1161,2674.37,12,Mumbai,Fashion,UPI,Tablet,0
T84,1189,136.77,22,Delhi,Travel,Card,Laptop,0
T85,1013,258.81,16,Kolkata,Grocery,Card,Laptop,0
T86,1094,9476.5,15,Pune,Travel,UPI,Mobile,0
T87,1047,599.78,1,Kolkata,Entertainment,UPI,Mobile,0
T88,1014,3040.75,19,Nagpur,Food,UPI,Mobile,0
T89,1199,2117.97,19,Pune,Entertainment,UPI,Tablet,0
T90,1189,1706.82,13,Bangalore,Electronics,UPI,Mobile,0
T91,1039,9203.68,2,Nagpur,Food,UPI,Mobile,0
T92,1081,88.26,22,Nagpur,Travel,UPI,Mobile,0
T93,1110,4360.07,11,Kolkata,Travel,UPI,Mobile,0
T94,1052,13230.22,7,Hyderabad,Entertainment,Net Banking,Mobile,0
T95,1023,3285.45,1,Kolkata,Travel,Card,Laptop,1
T96,1153,11047.23,3,Pune,Travel,Card,Mobile,1
T97,1187,214.69,13,Bangalore,Fashion,UPI,Laptop,0
T98,1123,2170.6,15,Delhi,Electronics,UPI,Laptop,0
T99,1040,1205.27,18,Chennai,Fashion,Card,Mobile,0
T100,1156,5249.51,1,Hyderabad,Travel,Net Banking,Mobile,0
T101,1014,15916.3,11,Pune,Grocery,Card,Mobile,0
T102,1044,1185.71,13,Delhi,Fashion,UPI,Tablet,0
T103,1064,4247.29,5,Pune,Travel,UPI,Mobile,0
T104,1088,883.07,12,Hyderabad,Travel,Net Banking,Mobile,0
T105,1070,3332.67,3,Delhi,Electronics,Card,Mobile,1
T106,1008,2493.98,21,Hyderabad,Entertainment,UPI,Mobile,0
T107,1087,14302.96,17,Pune,Food,Card,Mobile,0
T108,1128,3751.36,11,Nagpur,Fashion,Card,Mobile,0
T109,1135,1720.1,19,Chennai,Fashion,Card,Laptop,0
T110,1062,484.59,21,Mumbai,Fashion,UPI,Laptop,0
